Date,USD (PM),dis
2016-09-11,1324.6,0 days
2016-09-12,1324.6,1 days
2016-09-13,1323.65,2 days
2016-09-14,1321.75,3 days
2016-09-15,1310.8,4 days
2016-09-16,1308.35,5 days
2016-09-17,1314.85,6 days
2016-09-18,1314.85,7 days
2016-09-19,1314.85,8 days
2016-09-20,1313.8,9 days
2016-09-21,1326.1,10 days
2016-09-22,1339.1,11 days
2016-09-23,1338.65,12 days
2016-09-24,1340.5,13 days
2016-09-25,1340.5,14 days
2016-09-26,1340.5,15 days
2016-09-27,1327.0,16 days
2016-09-28,1322.5,17 days
2016-09-29,1318.1,18 days
2016-09-30,1322.5,19 days
2016-10-01,1313.3,20 days
2016-10-02,1313.3,21 days
2016-10-03,1313.3,22 days
2016-10-04,1283.3,23 days
2016-10-05,1269.4,24 days
2016-10-06,1254.5,25 days
2016-10-07,1258.75,26 days
2016-10-08,1259.5,27 days
2016-10-09,1259.5,28 days
2016-10-10,1259.5,29 days
2016-10-11,1253.45,30 days
2016-10-12,1256.5,31 days
2016-10-13,1261.05,32 days
2016-10-14,1251.75,33 days
2016-10-15,1254.8,34 days
2016-10-16,1254.8,35 days
2016-10-17,1254.8,36 days
2016-10-18,1258.2,37 days
2016-10-19,1269.05,38 days
2016-10-20,1271.65,39 days
2016-10-21,1266.05,40 days
2016-10-22,1265.55,41 days
2016-10-23,1265.55,42 days
2016-10-24,1265.55,43 days
2016-10-25,1269.4,44 days
2016-10-26,1270.5,45 days
2016-10-27,1266.25,46 days
2016-10-28,1273.0,47 days
2016-10-29,1272.0,48 days
2016-10-30,1272.0,49 days
2016-10-31,1272.0,50 days
2016-11-01,1288.45,51 days
2016-11-02,1303.75,52 days
2016-11-03,1301.0,53 days
2016-11-04,1302.8,54 days
2016-11-05,1283.05,55 days
2016-11-06,1283.05,56 days
2016-11-07,1283.05,57 days
2016-11-08,1282.35,58 days
2016-11-09,1281.4,59 days
2016-11-10,1267.5,60 days
2016-11-11,1236.45,61 days
2016-11-12,1213.6,62 days
2016-11-13,1213.6,63 days
2016-11-14,1213.6,64 days
2016-11-15,1226.95,65 days
2016-11-16,1229.2,66 days
2016-11-17,1226.75,67 days
2016-11-18,1211.0,68 days
2016-11-19,1214.25,69 days
2016-11-20,1214.25,70 days
2016-11-21,1214.25,71 days
2016-11-22,1212.25,72 days
2016-11-23,1185.35,73 days
2016-11-24,1186.1,74 days
2016-11-25,1187.7,75 days
2016-11-26,1187.0,76 days
2016-11-27,1187.0,77 days
2016-11-28,1187.0,78 days
2016-11-29,1186.55,79 days
2016-11-30,1178.1,80 days
2016-12-01,1161.85,81 days
2016-12-02,1173.5,82 days
2016-12-03,1162.2,83 days
2016-12-04,1162.2,84 days
2016-12-05,1162.2,85 days
2016-12-06,1172.5,86 days
2016-12-07,1177.65,87 days
2016-12-08,1171.05,88 days
2016-12-09,1163.6,89 days
2016-12-10,1156.1,90 days
2016-12-11,1156.1,91 days
2016-12-12,1156.1,92 days
2016-12-13,1158.55,93 days
2016-12-14,1162.25,94 days
2016-12-15,1126.95,95 days
2016-12-16,1131.6,96 days
2016-12-17,1136.25,97 days
2016-12-18,1136.25,98 days
2016-12-19,1136.25,99 days
2016-12-20,1125.7,100 days
2016-12-21,1133.65,101 days
2016-12-22,1131.35,102 days
2016-12-23,1134.6,103 days
2016-12-24,1134.6,104 days
2016-12-25,1134.6,105 days
2016-12-26,1134.6,106 days
2016-12-27,1134.6,107 days
2016-12-28,1134.6,108 days
2016-12-29,1145.9,109 days
2016-12-30,1151.0,110 days
2016-12-31,1151.0,111 days
2017-01-01,1151.0,112 days
2017-01-02,1151.0,113 days
2017-01-03,1151.0,114 days
2017-01-04,1164.25,115 days
2017-01-05,1176.7,116 days
2017-01-06,1175.85,117 days
2017-01-07,1178.5,118 days
2017-01-08,1178.5,119 days
2017-01-09,1178.5,120 days
2017-01-10,1189.5,121 days
2017-01-11,1178.55,122 days
2017-01-12,1205.05,123 days
2017-01-13,1190.35,124 days
2017-01-14,1203.0,125 days
2017-01-15,1203.0,126 days
2017-01-16,1203.0,127 days
2017-01-17,1216.05,128 days
2017-01-18,1214.75,129 days
2017-01-19,1196.05,130 days
2017-01-20,1200.55,131 days
2017-01-21,1212.85,132 days
2017-01-22,1212.85,133 days
2017-01-23,1212.85,134 days
2017-01-24,1216.8,135 days
2017-01-25,1195.0,136 days
2017-01-26,1189.7,137 days
2017-01-27,1184.85,138 days
2017-01-28,1192.8,139 days
2017-01-29,1192.8,140 days
2017-01-30,1192.8,141 days
2017-01-31,1212.8,142 days
2017-02-01,1203.65,143 days
2017-02-02,1221.95,144 days
2017-02-03,1215.2,145 days
2017-02-04,1226.75,146 days
2017-02-05,1226.75,147 days
2017-02-06,1226.75,148 days
2017-02-07,1231.0,149 days
2017-02-08,1242.1,150 days
2017-02-09,1236.8,151 days
2017-02-10,1228.3,152 days
2017-02-11,1222.25,153 days
2017-02-12,1222.25,154 days
2017-02-13,1222.25,155 days
2017-02-14,1230.75,156 days
2017-02-15,1224.4,157 days
2017-02-16,1240.55,158 days
2017-02-17,1241.95,159 days
2017-02-18,1237.3,160 days
2017-02-19,1237.3,161 days
2017-02-20,1237.3,162 days
2017-02-21,1233.2,163 days
2017-02-22,1236.65,164 days
2017-02-23,1247.9,165 days
2017-02-24,1253.65,166 days
2017-02-25,1257.2,167 days
2017-02-26,1257.2,168 days
2017-02-27,1257.2,169 days
2017-02-28,1255.6,170 days
2017-03-01,1240.4,171 days
2017-03-02,1238.1,172 days
2017-03-03,1226.5,173 days
2017-03-04,1230.95,174 days
2017-03-05,1230.95,175 days
2017-03-06,1230.95,176 days
2017-03-07,1216.65,177 days
2017-03-08,1209.2,178 days
2017-03-09,1206.55,179 days
2017-03-10,1202.65,180 days
2017-03-11,1204.2,181 days
2017-03-12,1204.2,182 days
2017-03-13,1204.2,183 days
2017-03-14,1204.6,184 days
2017-03-15,1198.8,185 days
2017-03-16,1229.35,186 days
2017-03-17,1229.6,187 days
2017-03-18,1232.4,188 days
2017-03-19,1232.4,189 days
2017-03-20,1232.4,190 days
2017-03-21,1241.6,191 days
2017-03-22,1249.05,192 days
2017-03-23,1247.5,193 days
2017-03-24,1247.5,194 days
2017-03-25,1257.55,195 days
2017-03-26,1257.55,196 days
2017-03-27,1257.55,197 days
2017-03-28,1257.25,198 days
2017-03-29,1251.1,199 days
2017-03-30,1248.8,200 days
2017-03-31,1244.85,201 days
2017-04-01,1247.25,202 days
2017-04-02,1247.25,203 days
2017-04-03,1247.25,204 days
2017-04-04,1257.65,205 days
2017-04-05,1245.8,206 days
2017-04-06,1252.5,207 days
2017-04-07,1266.45,208 days
2017-04-08,1250.05,209 days
2017-04-09,1250.05,210 days
2017-04-10,1250.05,211 days
2017-04-11,1252.9,212 days
2017-04-12,1274.3,213 days
2017-04-13,1284.15,214 days
2017-04-14,1278.95,215 days
2017-04-15,1278.95,216 days
2017-04-16,1278.95,217 days
2017-04-17,1278.95,218 days
2017-04-18,1278.95,219 days
2017-04-19,1279.05,220 days
2017-04-20,1282.1,221 days
2017-04-21,1281.85,222 days
2017-04-22,1269.4,223 days
2017-04-23,1269.4,224 days
2017-04-24,1269.4,225 days
2017-04-25,1267.8,226 days
2017-04-26,1261.85,227 days
2017-04-27,1262.8,228 days
2017-04-28,1266.45,229 days
2017-04-29,1255.45,230 days
2017-04-30,1255.45,231 days
2017-05-01,1255.45,232 days
2017-05-02,1255.45,233 days
2017-05-03,1250.3,234 days
2017-05-04,1228.45,235 days
2017-05-05,1228.05,236 days
2017-05-06,1229.8,237 days
2017-05-07,1229.8,238 days
2017-05-08,1229.8,239 days
2017-05-09,1220.4,240 days
2017-05-10,1222.95,241 days
2017-05-11,1223.15,242 days
2017-05-12,1231.25,243 days
2017-05-13,1233.3,244 days
2017-05-14,1233.3,245 days
2017-05-15,1233.3,246 days
2017-05-16,1234.2,247 days
2017-05-17,1257.4,248 days
2017-05-18,1255.9,249 days
2017-05-19,1252.0,250 days
2017-05-20,1258.85,251 days
2017-05-21,1258.85,252 days
2017-05-22,1258.85,253 days
2017-05-23,1260.2,254 days
2017-05-24,1252.55,255 days
2017-05-25,1256.95,256 days
2017-05-26,1265.05,257 days
2017-05-27,1262.7,258 days
2017-05-28,1262.7,259 days
2017-05-29,1262.7,260 days
2017-05-30,1262.7,261 days
2017-05-31,1266.2,262 days
2017-06-01,1264.85,263 days
2017-06-02,1274.95,264 days
2017-06-03,1279.95,265 days
2017-06-04,1279.95,266 days
2017-06-05,1279.95,267 days
2017-06-06,1293.5,268 days
2017-06-07,1291.0,269 days
2017-06-08,1273.1,270 days
2017-06-09,1266.55,271 days
2017-06-10,1266.4,272 days
2017-06-11,1266.4,273 days
2017-06-12,1266.4,274 days
2017-06-13,1262.0,275 days
2017-06-14,1275.5,276 days
2017-06-15,1254.55,277 days
2017-06-16,1255.4,278 days
2017-06-17,1248.15,279 days
2017-06-18,1248.15,280 days
2017-06-19,1248.15,281 days
2017-06-20,1242.2,282 days
2017-06-21,1242.5,283 days
2017-06-22,1250.8,284 days
2017-06-23,1255.7,285 days
2017-06-24,1245.25,286 days
2017-06-25,1245.25,287 days
2017-06-26,1245.25,288 days
2017-06-27,1249.55,289 days
2017-06-28,1248.0,290 days
2017-06-29,1243.5,291 days
2017-06-30,1242.25,292 days
2017-07-01,1229.25,293 days
2017-07-02,1229.25,294 days
2017-07-03,1229.25,295 days
2017-07-04,1223.75,296 days
2017-07-05,1220.3,297 days
2017-07-06,1224.9,298 days
2017-07-07,1215.65,299 days
2017-07-08,1211.9,300 days
2017-07-09,1211.9,301 days
2017-07-10,1211.9,302 days
2017-07-11,1211.05,303 days
2017-07-12,1218.8,304 days
2017-07-13,1218.9,305 days
2017-07-14,1230.3,306 days
2017-07-15,1234.1,307 days
2017-07-16,1234.1,308 days
2017-07-17,1234.1,309 days
2017-07-18,1240.75,310 days
2017-07-19,1242.15,311 days
2017-07-20,1238.7,312 days
2017-07-21,1248.55,313 days
2017-07-22,1255.55,314 days
2017-07-23,1255.55,315 days
2017-07-24,1255.55,316 days
2017-07-25,1254.4,317 days
2017-07-26,1248.1,318 days
2017-07-27,1261.1,319 days
2017-07-28,1264.9,320 days
2017-07-29,1267.55,321 days
2017-07-30,1267.55,322 days
2017-07-31,1267.55,323 days
2017-08-01,1270.95,324 days
2017-08-02,1269.6,325 days
2017-08-03,1268.1,326 days
2017-08-04,1257.7,327 days
2017-08-05,1258.0,328 days
2017-08-06,1258.0,329 days
2017-08-07,1258.0,330 days
2017-08-08,1261.8,331 days
2017-08-09,1271.05,332 days
2017-08-10,1284.4,333 days
2017-08-11,1286.1,334 days
2017-08-12,1282.3,335 days
2017-08-13,1282.3,336 days
2017-08-14,1282.3,337 days
2017-08-15,1270.3,338 days
2017-08-16,1272.75,339 days
2017-08-17,1285.15,340 days
2017-08-18,1295.8,341 days
2017-08-19,1292.9,342 days
2017-08-20,1292.9,343 days
2017-08-21,1292.9,344 days
2017-08-22,1284.2,345 days
2017-08-23,1286.65,346 days
2017-08-24,1289.0,347 days
2017-08-25,1285.3,348 days
2017-08-26,1318.65,349 days
2017-08-27,1318.65,350 days
2017-08-28,1318.65,351 days
2017-08-29,1318.65,352 days
2017-08-30,1308.5,353 days
2017-08-31,1311.75,354 days
2017-09-01,1320.4,355 days
2017-09-02,1333.1,356 days
2017-09-03,1333.1,357 days
2017-09-04,1333.1,358 days
2017-09-05,1335.55,359 days
2017-09-06,1337.85,360 days
2017-09-07,1343.5,361 days
2017-09-08,1346.25,362 days
2017-09-09,1334.2,363 days
2017-09-10,1334.2,364 days
2017-09-11,1334.2,365 days
2017-09-12,1326.5,366 days
2017-09-13,1327.55,367 days
2017-09-14,1324.55,368 days
2017-09-15,1322.85,369 days
2017-09-16,1312.1,370 days
2017-09-17,1312.1,371 days
2017-09-18,1312.1,372 days
2017-09-19,1309.6,373 days
2017-09-20,1311.3,374 days
2017-09-21,1292.1,375 days
2017-09-22,1294.8,376 days
2017-09-23,1293.3,377 days
2017-09-24,1293.3,378 days
2017-09-25,1293.3,379 days
2017-09-26,1300.05,380 days
2017-09-27,1282.55,381 days
2017-09-28,1283.35,382 days
2017-09-29,1283.1,383 days
2017-09-30,1273.7,384 days
2017-10-01,1273.7,385 days
2017-10-02,1273.7,386 days
2017-10-03,1271.25,387 days
2017-10-04,1274.25,388 days
2017-10-05,1274.5,389 days
2017-10-06,1261.8,390 days
2017-10-07,1278.75,391 days
2017-10-08,1278.75,392 days
2017-10-09,1278.75,393 days
2017-10-10,1291.4,394 days
2017-10-11,1289.25,395 days
2017-10-12,1290.25,396 days
2017-10-13,1299.6,397 days
2017-10-14,1303.3,398 days
2017-10-15,1303.3,399 days
2017-10-16,1303.3,400 days
2017-10-17,1284.75,401 days
2017-10-18,1280.2,402 days
2017-10-19,1286.4,403 days
2017-10-20,1281.2,404 days
2017-10-21,1274.9,405 days
2017-10-22,1274.9,406 days
2017-10-23,1274.9,407 days
2017-10-24,1276.45,408 days
2017-10-25,1275.0,409 days
2017-10-26,1273.75,410 days
2017-10-27,1266.45,411 days
2017-10-28,1272.0,412 days
2017-10-29,1272.0,413 days
2017-10-30,1272.0,414 days
2017-10-31,1270.15,415 days
2017-11-01,1277.05,416 days
2017-11-02,1279.2,417 days
2017-11-03,1267.2,418 days
2017-11-04,1270.9,419 days
2017-11-05,1270.9,420 days
2017-11-06,1270.9,421 days
2017-11-07,1275.6,422 days
2017-11-08,1284.0,423 days
2017-11-09,1284.8,424 days
2017-11-10,1284.3,425 days
2017-11-11,1277.95,426 days
2017-11-12,1277.95,427 days
2017-11-13,1277.95,428 days
2017-11-14,1274.6,429 days
2017-11-15,1282.2,430 days
2017-11-16,1280.0,431 days
2017-11-17,1284.35,432 days
2017-11-18,1286.2,433 days
2017-11-19,1286.2,434 days
2017-11-20,1286.2,435 days
2017-11-21,1283.3,436 days
2017-11-22,1286.95,437 days
2017-11-23,1290.35,438 days
2017-11-24,1290.5,439 days
2017-11-25,1294.9,440 days
2017-11-26,1294.9,441 days
2017-11-27,1294.9,442 days
2017-11-28,1291.85,443 days
2017-11-29,1283.85,444 days
2017-11-30,1280.2,445 days
2017-12-01,1275.5,446 days
2017-12-02,1273.45,447 days
2017-12-03,1273.45,448 days
2017-12-04,1273.45,449 days
2017-12-05,1266.3,450 days
2017-12-06,1263.7,451 days
2017-12-07,1255.0,452 days
2017-12-08,1250.65,453 days
2017-12-09,1247.15,454 days
2017-12-10,1247.15,455 days
2017-12-11,1247.15,456 days
2017-12-12,1240.9,457 days
2017-12-13,1242.65,458 days
2017-12-14,1251.0,459 days
2017-12-15,1254.6,460 days
2017-12-16,1260.6,461 days
2017-12-17,1260.6,462 days
2017-12-18,1260.6,463 days
2017-12-19,1260.35,464 days
2017-12-20,1264.55,465 days
2017-12-21,1264.55,466 days
2017-12-22,1279.4,467 days
2017-12-23,1279.4,468 days
2017-12-24,1279.4,469 days
2017-12-25,1279.4,470 days
2017-12-26,1279.4,471 days
2017-12-27,1279.4,472 days
2017-12-28,1291.0,473 days
2017-12-29,1312.05,474 days
2017-12-30,1312.05,475 days
2017-12-31,1312.05,476 days
2018-01-01,1312.05,477 days
2018-01-02,1312.05,478 days
2018-01-03,1314.9,479 days
2018-01-04,1314.5,480 days
2018-01-05,1317.15,481 days
2018-01-06,1319.95,482 days
2018-01-07,1319.95,483 days
2018-01-08,1319.95,484 days
2018-01-09,1311.0,485 days
2018-01-10,1319.75,486 days
2018-01-11,1323.05,487 days
2018-01-12,1326.8,488 days
2018-01-13,1339.25,489 days
2018-01-14,1339.25,490 days
2018-01-15,1339.25,491 days
2018-01-16,1333.85,492 days
2018-01-17,1335.65,493 days
2018-01-18,1332.2,494 days
2018-01-19,1334.95,495 days
2018-01-20,1332.6,496 days
2018-01-21,1332.6,497 days
2018-01-22,1332.6,498 days
2018-01-23,1333.4,499 days
2018-01-24,1353.7,500 days
2018-01-25,1354.95,501 days
2018-01-26,1353.15,502 days
2018-01-27,1343.85,503 days
2018-01-28,1343.85,504 days
2018-01-29,1343.85,505 days
2018-01-30,1344.9,506 days
2018-01-31,1345.05,507 days
2018-02-01,1341.35,508 days
2018-02-02,1331.15,509 days
2018-02-03,1333.6,510 days
2018-02-04,1333.6,511 days
2018-02-05,1333.6,512 days
2018-02-06,1331.4,513 days
2018-02-07,1324.65,514 days
2018-02-08,1315.45,515 days
2018-02-09,1314.1,516 days
2018-02-10,1322.3,517 days
2018-02-11,1322.3,518 days
2018-02-12,1322.3,519 days
2018-02-13,1325.35,520 days
2018-02-14,1336.25,521 days
2018-02-15,1352.45,522 days
2018-02-16,1352.1,523 days
2018-02-17,1346.6,524 days
2018-02-18,1346.6,525 days
2018-02-19,1346.6,526 days
2018-02-20,1339.85,527 days
2018-02-21,1330.5,528 days
2018-02-22,1328.35,529 days
2018-02-23,1327.95,530 days
2018-02-24,1333.5,531 days
2018-02-25,1333.5,532 days
2018-02-26,1333.5,533 days
2018-02-27,1325.75,534 days
2018-02-28,1317.85,535 days
2018-03-01,1307.75,536 days
2018-03-02,1322.3,537 days
2018-03-03,1320.4,538 days
2018-03-04,1320.4,539 days
2018-03-05,1320.4,540 days
2018-03-06,1331.4,541 days
2018-03-07,1329.4,542 days
2018-03-08,1321.0,543 days
2018-03-09,1320.6,544 days
2018-03-10,1319.15,545 days
2018-03-11,1319.15,546 days
2018-03-12,1319.15,547 days
2018-03-13,1322.75,548 days
2018-03-14,1323.55,549 days
2018-03-15,1318.75,550 days
2018-03-16,1310.1,551 days
2018-03-17,1312.4,552 days
2018-03-18,1312.4,553 days
2018-03-19,1312.4,554 days
2018-03-20,1311.0,555 days
2018-03-21,1321.35,556 days
2018-03-22,1329.15,557 days
2018-03-23,1346.6,558 days
2018-03-24,1352.4,559 days
2018-03-25,1352.4,560 days
2018-03-26,1352.4,561 days
2018-03-27,1341.45,562 days
2018-03-28,1332.45,563 days
2018-03-29,1323.85,564 days
2018-03-30,1333.45,565 days
2018-03-31,1333.45,566 days
2018-04-01,1333.45,567 days
2018-04-02,1333.45,568 days
2018-04-03,1333.45,569 days
2018-04-04,1337.3,570 days
2018-04-05,1327.7,571 days
2018-04-06,1331.2,572 days
2018-04-07,1331.95,573 days
2018-04-08,1331.95,574 days
2018-04-09,1331.95,575 days
2018-04-10,1338.95,576 days
2018-04-11,1350.75,577 days
2018-04-12,1341.35,578 days
2018-04-13,1343.7,579 days
2018-04-14,1349.35,580 days
2018-04-15,1349.35,581 days
2018-04-16,1349.35,582 days
2018-04-17,1342.1,583 days
2018-04-18,1351.45,584 days
2018-04-19,1348.6,585 days
2018-04-20,1336.75,586 days
2018-04-21,1324.3,587 days
2018-04-22,1324.3,588 days
2018-04-23,1324.3,589 days
2018-04-24,1328.85,590 days
2018-04-25,1321.65,591 days
2018-04-26,1320.7,592 days
2018-04-27,1321.5,593 days
2018-04-28,1313.2,594 days
2018-04-29,1313.2,595 days
2018-04-30,1313.2,596 days
2018-05-01,1307.1,597 days
2018-05-02,1304.2,598 days
2018-05-03,1315.05,599 days
2018-05-04,1309.4,600 days
2018-05-05,1306.6,601 days
2018-05-06,1306.6,602 days
2018-05-07,1306.6,603 days
2018-05-08,1306.6,604 days
2018-05-09,1313.85,605 days
2018-05-10,1318.8,606 days
2018-05-11,1324.35,607 days
2018-05-12,1319.85,608 days
2018-05-13,1319.85,609 days
2018-05-14,1319.85,610 days
2018-05-15,1295.0,611 days
2018-05-16,1291.25,612 days
2018-05-17,1289.5,613 days
2018-05-18,1288.3,614 days
2018-05-19,1288.35,615 days
2018-05-20,1288.35,616 days
2018-05-21,1288.35,617 days
2018-05-22,1293.05,618 days
2018-05-23,1289.0,619 days
2018-05-24,1304.85,620 days
